TransactionID,Company,Counterparty,AccountType,Amount,Description
TXN001,A,X,Revenue,600000,External sale by A
TXN002,A,X,Expense,-200000,External expense A
TXN003,B,Y,Revenue,500000,External sale by B
TXN004,B,Y,Expense,-250000,External expense B
TXN005,C,Z,Revenue,300000,External sale by C
TXN006,C,Z,Expense,-150000,External expense C
TXN007,A,B,Revenue,70000,Internal sale A → B
TXN008,B,A,Expense,-70000,Internal purchase B ← A
TXN009,C,A,Revenue,30000,Internal sale C → A
TXN010,A,C,Expense,-30000,Internal purchase A ← C
TXN011,B,C,Revenue,50000,Internal sale B → C
TXN012,C,B,Expense,-50000,Internal purchase C ← B
